   Step          Temp         c_usual         Press 
         0   1.451595       1.0078761      25.046166
       100   1.1391864      0.86207121     24.066372
       200   0.89611597     0.8304318      23.442548
       300   0.86836987     0.91922891     23.326212
       400   0.92795853     1.0286938      23.473743
       500   0.9855679      1.1068185      23.648011
       600   1.0077849      1.1424018      23.710935
       700   1.0070983      1.1560464      23.675737
       800   0.99816328     1.1619798      23.676977
       900   0.99187906     1.1703017      23.702491
      1000   0.99800692     1.1872169      23.731475
      1100   0.99807021     1.196966       23.665545
      1200   0.9978191      1.2061451      23.666167
      1300   0.99729786     1.2138367      23.673417
      1400   0.9930591      1.2175803      23.698673
      1500   0.99803593     1.2284336      23.660913
      1600   0.99955629     1.2357821      23.680255
      1700   1.003354       1.2450027      23.663323
      1800   0.99786973     1.2457037      23.729691
      1900   0.99894232     1.2521808      23.702129
      2000   0.99456723     1.2525257      23.650108
      2100   0.99710094     1.258909       23.61519 
      2200   0.99840763     1.2645321      23.66818 
      2300   1.0023525      1.2715675      23.690472
      2400   1.0043207      1.2769758      23.667306
      2500   1.0022215      1.2788212      23.662942
      2600   0.99902411     1.2797882      23.715598
      2700   0.99978081     1.2837357      23.69455 
      2800   0.99881122     1.2863584      23.683436
      2900   0.99955139     1.2899949      23.707446
      3000   0.99849312     1.2920024      23.658523
      3100   1.0000078      1.2949139      23.716329
      3200   0.99971389     1.2978141      23.692369
      3300   1.0007798      1.3019778      23.661133
      3400   0.99806929     1.3018939      23.649643
      3500   0.9989219      1.3046364      23.653597
      3600   0.99922957     1.3079745      23.696597
      3700   1.0000881      1.3110062      23.639458
      3800   1.0016403      1.3138705      23.695957
      3900   1.001281       1.3153413      23.680745
      4000   1.0018242      1.3177894      23.694202
      4100   1.0014008      1.3192286      23.69374 
      4200   0.99876458     1.3179221      23.670923
      4300   0.9995187      1.3200908      23.723315
      4400   0.99992289     1.3227862      23.651408
      4500   1.0018121      1.3269977      23.664446
      4600   0.99852276     1.3250288      23.718611
      4700   0.99950636     1.3275558      23.665555
      4800   1.0018022      1.3312456      23.675911
      4900   1.0007829      1.3318395      23.662865
      5000   0.99960459     1.332202       23.687873
      5100   0.99991239     1.3341162      23.698385
      5200   0.99845609     1.3341518      23.690385
      5300   0.9961539      1.3333914      23.658761
